20230309	21:39:11	10b38a74-d0db-409e-8c55-3b4a7add9de7	OPTIONS	http://localhost:3000	/users
20230309	21:39:11	d564eed4-b55f-4c82-b8d1-82b09765914e	GET	http://localhost:3000	/users
20230309	21:39:24	fd7dbbca-8d19-486f-b78b-13aec91e6c05	OPTIONS	http://localhost:3000	/auth
20230309	21:39:24	71706759-5271-40d9-ba71-3a67f89fc83d	POST	http://localhost:3000	/auth
20230309	21:39:33	76c0a206-7caa-482b-9ce2-aee94a24bc92	OPTIONS	http://localhost:3000	/auth
20230309	21:39:33	d37dab90-c198-48b9-ac13-b5ace805bcbc	POST	http://localhost:3000	/auth
20230309	21:39:33	ec320516-3707-47b2-8877-f47780fd6483	OPTIONS	http://localhost:3000	/users
20230309	21:39:33	f4cf3423-16ba-4ea1-b748-536ca9c79b59	GET	http://localhost:3000	/users
20230309	21:47:47	8e033205-103e-4bf4-be47-b3274662d54c	OPTIONS	http://localhost:3000	/auth
20230309	21:47:47	923dfbc7-a127-4279-b4d9-1c73006c7f4f	POST	http://localhost:3000	/auth
20230309	21:47:47	156b6466-a56b-458e-8abc-8e5756f522e6	OPTIONS	http://localhost:3000	/users
20230309	21:47:47	796e69ca-1977-4f45-ae69-f7784a7baa02	GET	http://localhost:3000	/users
20230309	21:48:06	367f9248-70ff-4db0-a1a8-70f5841d943e	OPTIONS	http://localhost:3000	/auth
20230309	21:48:06	c745fdb2-df25-41ce-b153-901119a0d56d	POST	http://localhost:3000	/auth
20230309	21:48:37	166e9fa2-4752-4e22-b361-a6bc7794d5b9	GET	http://localhost:3000	/refresh
20230309	21:48:37	d5a5fea5-ebc6-4146-81ea-b8ec4c2dd357	GET	http://localhost:3000	/refresh
20230309	21:48:41	b5c08585-915f-4d64-9b1c-64981afe39e8	GET	http://localhost:3000	/logout
20230309	21:49:01	8927c076-be9b-48d9-815e-4c242b95c0b3	OPTIONS	http://localhost:3000	/auth
20230309	21:49:01	6a27141e-debd-48d0-a168-b8ea36e159c6	POST	http://localhost:3000	/auth
20230309	21:49:04	5336f571-2b0e-4c7a-ab29-99e1e9917a0e	OPTIONS	http://localhost:3000	/users
20230309	21:49:04	825604e4-3f92-43b2-a649-5ea95b8cce84	GET	http://localhost:3000	/users
20230309	21:49:14	1c97846f-e410-42b7-acda-481e4a4a30ca	OPTIONS	http://localhost:3000	/auth
20230309	21:49:14	c1a16986-91e6-4d45-8ff9-8e72ca4e37fe	POST	http://localhost:3000	/auth
20230309	21:49:23	900f5b5c-8d7e-4198-9a40-96a1f111fcbd	OPTIONS	http://localhost:3000	/auth
20230309	21:49:23	60fec7df-8c37-4156-b1db-ac564eabf539	POST	http://localhost:3000	/auth
20230309	21:49:24	29e8f37d-62a3-4e57-b789-62322b051184	OPTIONS	http://localhost:3000	/users
20230309	21:49:24	1ea61349-f8a4-42e8-a2be-c3b0311c620d	GET	http://localhost:3000	/users
20230309	21:53:28	5934d9b2-a5d9-4b68-9cdd-33ea021ed92c	OPTIONS	http://localhost:3000	/auth
20230309	21:53:28	1473797b-d4a8-4e1b-8531-dfc6a88976f7	POST	http://localhost:3000	/auth
20230309	21:53:35	949279ab-3cee-4e95-9862-236854afc7ca	OPTIONS	http://localhost:3000	/users
20230309	21:53:35	f5de7fec-7442-4727-92a4-a11031514827	GET	http://localhost:3000	/users
20230309	21:54:08	641ba576-7648-4bfa-a139-ac7383e3303a	OPTIONS	http://localhost:3000	/auth
20230309	21:54:08	607274e1-61e9-4877-a454-7855add5ee9f	POST	http://localhost:3000	/auth
20230309	21:54:09	29cc8557-7620-46ad-abbb-0b075d4cae82	OPTIONS	http://localhost:3000	/users
20230309	21:54:09	d0df92ca-7ee6-44c9-83d5-54277f8edbbb	GET	http://localhost:3000	/users
20230309	21:54:24	fd641831-07a5-4031-bf69-2b06e42ed36d	OPTIONS	http://localhost:3000	/auth
20230309	21:54:24	9f5f3096-7660-4fd4-bc1d-cc45af7f053d	POST	http://localhost:3000	/auth
20230309	21:54:24	122ab970-5928-4e7d-bcf3-11148a87656d	OPTIONS	http://localhost:3000	/users
20230309	21:54:24	98e07c98-4e9b-493a-91d5-4394d8d6e002	GET	http://localhost:3000	/users
20230309	21:56:53	be75d72a-5046-4da0-aa20-37e4ae15bda1	OPTIONS	http://localhost:3000	/auth
20230309	21:56:53	d3a16cbc-773b-4ad8-bcb7-0022c34f2d20	POST	http://localhost:3000	/auth
20230309	21:56:54	807ecac5-b719-48cd-b646-7e4968d8e586	OPTIONS	http://localhost:3000	/users
20230309	21:56:54	0b68e395-7642-4b81-9815-f9b1b3f3fdf5	GET	http://localhost:3000	/users
